OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION
1;ORINOQUÕA;ARAUCA;SARAVENA;81736;ALTA;10.7;193.2;26.0;17/07/2026
2;ANDINA;BOYAC¡;CUBAR¡;15223;ALTA;10.7;269.2;27.0;17/07/2026
3;ANDINA;BOYAC¡;MACANAL;15425;ALTA;15.6;118.3;29.0;17/07/2026
4;ORINOQUÕA;CASANARE;MONTERREY;85162;ALTA;22.8;123.9;29.0;17/07/2026
5;ORINOQUÕA;CASANARE;NUNCHÕA;85225;ALTA;17.3;178.7;24.0;17/07/2026
6;ORINOQUÕA;CASANARE;YOPAL;85001;ALTA;10.6;132.5;24.0;17/07/2026
7;PACÕFICO;CAUCA;L”PEZ DE MICAY;19418;ALTA;10.3;128.5;26.0;17/07/2026
8;PACÕFICO;CAUCA;SANTA ROSA;19701;ALTA;7.6;66.7;27.0;17/07/2026
9;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;ALTA;25.6;197.6;29.0;17/07/2026
10;ANDINA;CUNDINAMARCA;MEDINA;25438;ALTA;26.7;151.8;30.0;17/07/2026
11;ORINOQUÕA;META;ACACÕAS;50006;ALTA;42.1;116.9;29.0;17/07/2026
12;ORINOQUÕA;META;CUBARRAL;50223;ALTA;54.3;141.5;29.0;17/07/2026
13;ORINOQUÕA;META;EL CASTILLO;50251;ALTA;47.9;149.0;29.0;17/07/2026
14;ORINOQUÕA;META;EL DORADO;50270;ALTA;54.9;165.3;28.0;17/07/2026
15;ORINOQUÕA;META;GUAMAL;50318;ALTA;50.4;115.2;28.0;17/07/2026
16;ORINOQUÕA;META;RESTREPO;50606;ALTA;39.2;172.9;30.0;17/07/2026
17;ORINOQUÕA;META;SAN JUAN DE ARAMA;50683;ALTA;28.1;152.0;29.0;17/07/2026
18;ORINOQUÕA;META;VILLAVICENCIO;50001;ALTA;36.2;94.2;27.0;17/07/2026
19;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;ALTA;15.9;213.1;27.0;17/07/2026
20;AMAZONÕA;PUTUMAYO;MOCOA;86001;ALTA;15.5;142.5;30.0;17/07/2026
21;AMAZONÕA;PUTUMAYO;SAN FRANCISCO;86755;ALTA;33.2;215.7;30.0;17/07/2026
22;ANDINA;ANTIOQUIA;APARTAD”;05045;BAJA;18.5;63.9;25.0;17/07/2026
23;ANDINA;ANTIOQUIA;MUTAT¡;05480;BAJA;28.0;63.9;24.0;17/07/2026
24;ANDINA;ANTIOQUIA;TURBO;05837;BAJA;14.4;56.3;24.0;17/07/2026
25;ORINOQUÕA;ARAUCA;TAME;81794;BAJA;2.0;143.7;24.0;17/07/2026
26;ANDINA;BOYAC¡;CHITA;15183;BAJA;3.9;81.6;20.0;17/07/2026
27;ANDINA;BOYAC¡;GARAGOA;15299;BAJA;7.3;69.8;29.0;17/07/2026
28;ANDINA;BOYAC¡;GUAYAT¡;15325;BAJA;10.9;101.2;29.0;17/07/2026
29;ANDINA;BOYAC¡;LABRANZAGRANDE;15377;BAJA;4.5;133.7;27.0;17/07/2026
30;ANDINA;BOYAC¡;MIRAFLORES;15455;BAJA;6.1;100.4;29.0;17/07/2026
31;ANDINA;BOYAC¡;MONGUA;15464;BAJA;6.6;102.6;27.0;17/07/2026
32;ANDINA;BOYAC¡;PAJARITO;15518;BAJA;5.5;134.4;28.0;17/07/2026
33;ANDINA;BOYAC¡;PISBA;15550;BAJA;16.1;159.3;24.0;17/07/2026
34;ANDINA;BOYAC¡;P¡EZ;15514;BAJA;10.6;102.9;29.0;17/07/2026
35;ANDINA;BOYAC¡;SOCOT¡;15755;BAJA;5.9;82.7;20.0;17/07/2026
36;ANDINA;BOYAC¡;SOMONDOCO;15761;BAJA;10.1;75.8;27.0;17/07/2026
37;AMAZONÕA;CAQUET¡;PUERTO RICO;18592;BAJA;12.2;45.9;25.0;17/07/2026
38;ORINOQUÕA;CASANARE;AGUAZUL;85010;BAJA;14.2;80.0;28.0;17/07/2026
39;ORINOQUÕA;CASANARE;PORE;85263;BAJA;7.4;192.4;25.0;17/07/2026
40;ORINOQUÕA;CASANARE;S¡CAMA;85315;BAJA;2.8;121.6;24.0;17/07/2026
41;ORINOQUÕA;CASANARE;TAURAMENA;85410;BAJA;22.9;96.9;26.0;17/07/2026
42;PACÕFICO;CAUCA;GUAPI;19318;BAJA;11.6;118.7;26.0;17/07/2026
43;PACÕFICO;CAUCA;TIMBIQUÕ;19809;BAJA;9.3;149.9;28.0;17/07/2026
44;PACÕFICO;CHOC”;C…RTEGUI;27160;BAJA;18.7;105.5;27.0;17/07/2026
45;PACÕFICO;CHOC”;EL LITORAL DEL SAN JUAN;27250;BAJA;21.7;57.2;21.0;17/07/2026
46;PACÕFICO;CHOC”;ISTMINA;27361;BAJA;;;;17/07/2026
47;PACÕFICO;CHOC”;LLOR”;27413;BAJA;13.6;97.6;26.0;17/07/2026
48;PACÕFICO;CHOC”;MEDIO ATRATO;27425;BAJA;;;;17/07/2026
49;PACÕFICO;CHOC”;MEDIO BAUD”;27430;BAJA;;;;17/07/2026
50;PACÕFICO;CHOC”;NUQUÕ;27495;BAJA;11.9;97.7;27.0;17/07/2026
51;PACÕFICO;CHOC”;RÕO QUITO;27600;BAJA;19.1;113.5;27.0;17/07/2026
52;PACÕFICO;CHOC”;SAN JOS… DEL PALMAR;27660;BAJA;;;;17/07/2026
53;PACÕFICO;CHOC”;SIPÕ;27745;BAJA;;;;17/07/2026
54;ANDINA;CUNDINAMARCA;CHOCONT¡;25183;BAJA;;;;17/07/2026
55;ANDINA;CUNDINAMARCA;C¡QUEZA;25151;BAJA;5.1;29.9;28.0;17/07/2026
56;ANDINA;CUNDINAMARCA;GUATAVITA;25326;BAJA;13.2;47.9;28.0;17/07/2026
57;CARIBE;C”RDOBA;PUERTO LIBERTADOR;23580;BAJA;7.4;81.6;20.0;17/07/2026
58;ANDINA;HUILA;ACEVEDO;41006;BAJA;10.6;94.0;28.0;17/07/2026
59;ANDINA;HUILA;ISNOS;41359;BAJA;9.5;68.0;27.0;17/07/2026
60;ANDINA;HUILA;PALESTINA;41530;BAJA;11.8;119.2;29.0;17/07/2026
61;ANDINA;HUILA;SAN AGUSTÕN;41668;BAJA;9.5;66.4;28.0;17/07/2026
62;ORINOQUÕA;META;BARRANCA DE UPÕA;50110;BAJA;21.1;140.7;25.0;17/07/2026
63;PACÕFICO;NARI—O;PUERRES;52573;BAJA;28.2;38.5;26.0;17/07/2026
64;PACÕFICO;NARI—O;RICAURTE;52612;BAJA;10.4;99.1;29.0;17/07/2026
