OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION;nivel_numero
1;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;Alta;126.4;145.6;20.0;06/08/2026;3
2;ANDINA;ANTIOQUIA;APARTADÓ;05045;Alta;73.4;125.7;25.0;06/08/2026;3
3;ANDINA;ANTIOQUIA;COCORNÁ;05197;Alta;126.9;137.6;16.0;06/08/2026;3
4;ANDINA;ANTIOQUIA;CONCEPCIÓN;05206;Alta;57.6;65.9;20.0;06/08/2026;3
5;ANDINA;ANTIOQUIA;EL CARMEN DE VIBORAL;05148;Alta;55.9;62.9;16.0;06/08/2026;3
6;ANDINA;ANTIOQUIA;EL SANTUARIO;05697;Alta;92.9;110.3;17.0;06/08/2026;3
7;ANDINA;ANTIOQUIA;GRANADA;05313;Alta;325.4;338.8;16.0;06/08/2026;3
8;ANDINA;ANTIOQUIA;GUATAPÉ;05321;Alta;186.3;207.6;20.0;06/08/2026;3
9;ANDINA;ANTIOQUIA;NECOCLÍ;05490;Alta;72.4;88.2;21.0;06/08/2026;3
10;ANDINA;ANTIOQUIA;PEÑOL;05541;Alta;135.2;163.7;19.0;06/08/2026;3
11;ANDINA;ANTIOQUIA;PUERTO NARE;05585;Alta;43.8;53.0;15.0;06/08/2026;3
12;ANDINA;ANTIOQUIA;SAN CARLOS;05649;Alta;176.4;191.2;20.0;06/08/2026;3
13;ANDINA;ANTIOQUIA;SAN FRANCISCO;05652;Alta;77.1;86.4;16.0;06/08/2026;3
14;ANDINA;ANTIOQUIA;SAN LUIS;05660;Alta;145.0;155.4;17.0;06/08/2026;3
15;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;Alta;204.9;224.8;20.0;06/08/2026;3
16;ANDINA;ANTIOQUIA;SAN ROQUE;05670;Alta;62.8;83.1;20.0;06/08/2026;3
17;ANDINA;ANTIOQUIA;SANTO DOMINGO;05690;Alta;67.3;89.7;20.0;06/08/2026;3
18;ANDINA;ANTIOQUIA;SONSÓN;05756;Alta;36.4;43.7;13.0;06/08/2026;3
19;ANDINA;ANTIOQUIA;TURBO;05837;Alta;75.2;118.2;24.0;06/08/2026;3
20;ANDINA;BOYACÁ;CUBARÁ;15223;Alta;23.7;71.8;28.0;06/08/2026;3
21;ANDINA;BOYACÁ;SANTA MARÍA;15690;Alta;27.6;118.8;29.0;06/08/2026;3
22;PACÍFICO;CAUCA;GUAPI;19318;Alta;71.5;109.8;23.0;06/08/2026;3
23;PACÍFICO;CAUCA;LÓPEZ DE MICAY;19418;Alta;60.1;79.4;25.0;06/08/2026;3
24;PACÍFICO;CAUCA;TIMBIQUÍ;19809;Alta;108.6;126.7;27.0;06/08/2026;3
25;PACÍFICO;CHOCÓ;ALTO BAUDÓ;27025;Alta;96.8;177.1;27.0;06/08/2026;3
26;PACÍFICO;CHOCÓ;BAGADÓ;27073;Alta;48.6;104.3;21.0;06/08/2026;3
27;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;Alta;73.1;140.0;26.0;06/08/2026;3
28;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;Alta;140.6;229.0;26.0;06/08/2026;3
29;PACÍFICO;CHOCÓ;BOJAYÁ;27099;Alta;46.0;76.7;23.0;06/08/2026;3
30;PACÍFICO;CHOCÓ;CONDOTO;27205;Alta;137.6;235.8;25.0;06/08/2026;3
31;PACÍFICO;CHOCÓ;EL CANTÓN DEL SAN PABLO;27135;Alta;110.7;184.5;26.0;06/08/2026;3
32;PACÍFICO;CHOCÓ;EL CARMEN DE ATRATO;27245;Alta;23.9;30.3;14.0;06/08/2026;3
33;PACÍFICO;CHOCÓ;EL LITORAL DEL SAN JUAN;27250;Alta;39.4;99.7;23.0;06/08/2026;3
34;PACÍFICO;CHOCÓ;ISTMINA;27361;Alta;121.0;190.9;25.0;06/08/2026;3
35;PACÍFICO;CHOCÓ;LLORÓ;27413;Alta;63.3;144.5;24.0;06/08/2026;3
36;PACÍFICO;CHOCÓ;MEDIO ATRATO;27425;Alta;43.8;101.2;23.0;06/08/2026;3
37;PACÍFICO;CHOCÓ;MEDIO BAUDÓ;27430;Alta;162.6;248.7;25.0;06/08/2026;3
38;PACÍFICO;CHOCÓ;NUQUÍ;27495;Alta;110.2;191.1;27.0;06/08/2026;3
39;PACÍFICO;CHOCÓ;NÓVITA;27491;Alta;141.1;235.5;24.0;06/08/2026;3
40;PACÍFICO;CHOCÓ;QUIBDÓ;27001;Alta;47.4;105.5;23.0;06/08/2026;3
41;PACÍFICO;CHOCÓ;RÍO IRÓ;27580;Alta;121.0;207.1;25.0;06/08/2026;3
42;PACÍFICO;CHOCÓ;RÍO QUITO;27600;Alta;56.2;142.0;27.0;06/08/2026;3
43;PACÍFICO;CHOCÓ;SAN JOSÉ DEL PALMAR;27660;Alta;61.2;94.6;18.0;06/08/2026;3
44;PACÍFICO;CHOCÓ;SIPÍ;27745;Alta;50.1;74.2;14.0;06/08/2026;3
45;PACÍFICO;CHOCÓ;TADÓ;27787;Alta;70.4;127.2;21.0;06/08/2026;3
46;ANDINA;CUNDINAMARCA;GUAYABETAL;25335;Alta;57.3;175.6;29.0;06/08/2026;3
47;ANDINA;CUNDINAMARCA;MEDINA;25438;Alta;57.7;127.6;29.0;06/08/2026;3
48;ANDINA;CUNDINAMARCA;QUETAME;25594;Alta;48.6;145.1;28.0;06/08/2026;3
49;ORINOQUÍA;META;RESTREPO;50606;Alta;43.0;201.4;30.0;06/08/2026;3
50;ORINOQUÍA;META;VILLAVICENCIO;50001;Alta;29.1;143.4;29.0;06/08/2026;3
51;ANDINA;NORTE DE SANTANDER;TOLEDO;54820;Alta;19.0;63.3;29.0;06/08/2026;3
52;AMAZONÍA;PUTUMAYO;MOCOA;86001;Alta;24.5;105.8;30.0;06/08/2026;3
53;AMAZONÍA;PUTUMAYO;SAN FRANCISCO;86755;Alta;17.9;131.6;30.0;06/08/2026;3
54;PACÍFICO;VALLE DEL CAUCA;BUENAVENTURA;76109;Alta;42.0;103.0;24.0;06/08/2026;3
55;ANDINA;ANTIOQUIA;ARBOLETES;05051;Baja;49.3;65.3;18.0;06/08/2026;1
56;ANDINA;ANTIOQUIA;BRICEÑO;05107;Baja;34.5;67.7;20.0;06/08/2026;1
57;ANDINA;ANTIOQUIA;DONMATÍAS;05237;Baja;12.5;16.7;15.0;06/08/2026;1
58;ANDINA;ANTIOQUIA;REMEDIOS;05604;Baja;-;-;-;06/08/2026;1
59;ANDINA;ANTIOQUIA;SAN VICENTE FERRER;05674;Baja;31.5;40.7;16.0;06/08/2026;1
60;ANDINA;ANTIOQUIA;SANTA ROSA DE OSOS;05686;Baja;11.1;17.0;17.0;06/08/2026;1
61;ANDINA;ANTIOQUIA;SEGOVIA;05736;Baja;27.2;54.2;18.0;06/08/2026;1
62;ANDINA;ANTIOQUIA;VEGACHÍ;05858;Baja;-;-;-;06/08/2026;1
63;ANDINA;ANTIOQUIA;YALÍ;05885;Baja;-;-;-;06/08/2026;1
64;ANDINA;ANTIOQUIA;YARUMAL;05887;Baja;22.3;72.7;17.0;06/08/2026;1
65;ORINOQUÍA;ARAUCA;FORTUL;81300;Baja;11.0;28.5;26.0;06/08/2026;1
66;ORINOQUÍA;ARAUCA;TAME;81794;Baja;-;-;-;06/08/2026;1
67;CARIBE;BOLÍVAR;ARENAL;13042;Baja;-;-;-;06/08/2026;1
68;CARIBE;BOLÍVAR;MORALES;13473;Baja;21.1;22.3;12.0;06/08/2026;1
69;CARIBE;BOLÍVAR;SAN JACINTO DEL CAUCA;13655;Baja;-;-;-;06/08/2026;1
70;CARIBE;BOLÍVAR;SAN PABLO;13670;Baja;30.8;65.1;18.0;06/08/2026;1
71;CARIBE;BOLÍVAR;SIMITÍ;13744;Baja;37.9;43.0;14.0;06/08/2026;1
72;ANDINA;BOYACÁ;AQUITANIA;15047;Baja;12.6;66.9;30.0;06/08/2026;1
73;ANDINA;BOYACÁ;LABRANZAGRANDE;15377;Baja;22.6;68.2;30.0;06/08/2026;1
74;ANDINA;BOYACÁ;MONGUA;15464;Baja;17.4;45.7;28.0;06/08/2026;1
75;ANDINA;BOYACÁ;PAYA;15533;Baja;33.5;51.1;26.0;06/08/2026;1
76;ANDINA;CALDAS;LA DORADA;17380;Baja;47.9;65.6;11.0;06/08/2026;1
77;ANDINA;CALDAS;VICTORIA;17867;Baja;29.1;32.1;10.0;06/08/2026;1
78;AMAZONÍA;CAQUETÁ;PUERTO RICO;18592;Baja;19.4;36.8;20.0;06/08/2026;1
79;ORINOQUÍA;CASANARE;AGUAZUL;85010;Baja;25.5;35.0;28.0;06/08/2026;1
80;ORINOQUÍA;CASANARE;CHÁMEZA;85015;Baja;15.6;55.1;30.0;06/08/2026;1
81;ORINOQUÍA;CASANARE;NUNCHÍA;85225;Baja;22.5;34.6;25.0;06/08/2026;1
82;ORINOQUÍA;CASANARE;PAZ DE ARIPORO;85250;Baja;7.7;57.6;25.0;06/08/2026;1
83;ORINOQUÍA;CASANARE;PORE;85263;Baja;20.1;71.7;22.0;06/08/2026;1
84;ORINOQUÍA;CASANARE;RECETOR;85279;Baja;22.1;78.8;30.0;06/08/2026;1
85;ORINOQUÍA;CASANARE;TAURAMENA;85410;Baja;23.2;68.8;28.0;06/08/2026;1
86;ORINOQUÍA;CASANARE;VILLANUEVA;85440;Baja;-;-;-;06/08/2026;1
87;PACÍFICO;CAUCA;ARGELIA;19050;Baja;12.1;13.6;9.0;06/08/2026;1
