OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
1;ANDINA;ANTIOQUIA;ALEJANDRÍA;05021;Alta;06/09/2026;11.5;198.3;26.0;3
2;ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;Alta;06/09/2026;27.4;161.4;25.0;3
3;ANDINA;ANTIOQUIA;SAN CARLOS;05649;Alta;06/09/2026;9.7;138.5;27.0;3
4;ANDINA;ANTIOQUIA;SAN RAFAEL;05667;Alta;06/09/2026;11.9;212.9;27.0;3
5;ANDINA;ANTIOQUIA;SAN ROQUE;05670;Alta;06/09/2026;6.6;179.0;28.0;3
6;ANDINA;ANTIOQUIA;TARAZÁ;05790;Alta;06/09/2026;27.8;151.4;22.0;3
7;ANDINA;ANTIOQUIA;VALDIVIA;05854;Alta;06/09/2026;29.2;132.1;23.0;3
8;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;Alta;06/09/2026;12.9;163.1;26.0;3
9;ORINOQUÍA;ARAUCA;FORTUL;81300;Alta;06/09/2026;31.6;62.5;25.0;3
10;ORINOQUÍA;ARAUCA;SARAVENA;81736;Alta;06/09/2026;50.4;128.2;28.0;3
11;ANDINA;BOYACÁ;CUBARÁ;15223;Alta;06/09/2026;29.4;139.3;28.0;3
12;ANDINA;BOYACÁ;MACANAL;15425;Alta;06/09/2026;17.7;122.0;28.0;3
13;ANDINA;BOYACÁ;PAYA;15533;Alta;06/09/2026;25.7;133.0;27.0;3
14;ORINOQUÍA;CASANARE;HATO COROZAL;85125;Alta;06/09/2026;12.6;97.3;24.0;3
15;ORINOQUÍA;CASANARE;MONTERREY;85162;Alta;06/09/2026;28.0;114.4;28.0;3
16;ORINOQUÍA;CASANARE;TÁMARA;85400;Alta;06/09/2026;46.3;117.3;26.0;3
17;ORINOQUÍA;CASANARE;YOPAL;85001;Alta;06/09/2026;27.1;132.0;25.0;3
18;PACÍFICO;CAUCA;EL TAMBO;19256;Alta;06/09/2026;30.8;74.6;15.0;3
19;PACÍFICO;CAUCA;GUAPI;19318;Alta;06/09/2026;40.2;112.7;23.0;3
20;PACÍFICO;CAUCA;LÓPEZ DE MICAY;19418;Alta;06/09/2026;73.8;216.7;23.0;3
21;PACÍFICO;CAUCA;SANTA ROSA;19701;Alta;06/09/2026;14.5;73.7;27.0;3
22;PACÍFICO;CAUCA;TIMBIQUÍ;19809;Alta;06/09/2026;57.4;317.3;25.0;3
23;PACÍFICO;CHOCÓ;ALTO BAUDÓ;27025;Alta;06/09/2026;51.8;367.0;28.0;3
24;PACÍFICO;CHOCÓ;BAGADÓ;27073;Alta;06/09/2026;59.6;285.5;25.0;3
25;PACÍFICO;CHOCÓ;BAHÍA SOLANO;27075;Alta;06/09/2026;34.5;335.9;27.0;3
26;PACÍFICO;CHOCÓ;BAJO BAUDÓ;27077;Alta;06/09/2026;75.6;203.7;28.0;3
27;PACÍFICO;CHOCÓ;BOJAYÁ;27099;Alta;06/09/2026;36.7;227.3;26.0;3
28;PACÍFICO;CHOCÓ;CONDOTO;27205;Alta;06/09/2026;124.9;204.3;26.0;3
29;PACÍFICO;CHOCÓ;CÉRTEGUI;27160;Alta;06/09/2026;53.4;406.6;28.0;3
30;PACÍFICO;CHOCÓ;EL CANTÓN DEL SAN PABLO;27135;Alta;06/09/2026;72.6;308.4;28.0;3
31;PACÍFICO;CHOCÓ;EL CARMEN DE ATRATO;27245;Alta;06/09/2026;34.9;97.5;21.0;3
32;PACÍFICO;CHOCÓ;ISTMINA;27361;Alta;06/09/2026;79.4;135.3;27.0;3
33;PACÍFICO;CHOCÓ;LLORÓ;27413;Alta;06/09/2026;58.1;441.3;28.0;3
34;PACÍFICO;CHOCÓ;MEDIO ATRATO;27425;Alta;06/09/2026;42.2;367.1;27.0;3
35;PACÍFICO;CHOCÓ;MEDIO BAUDÓ;27430;Alta;06/09/2026;86.7;192.7;28.0;3
36;PACÍFICO;CHOCÓ;NUQUÍ;27495;Alta;06/09/2026;49.3;352.3;28.0;3
37;PACÍFICO;CHOCÓ;NÓVITA;27491;Alta;06/09/2026;126.6;199.6;25.0;3
38;PACÍFICO;CHOCÓ;QUIBDÓ;27001;Alta;06/09/2026;39.3;364.4;26.0;3
