OBJECTID;REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION
1;PACÍFICO;CAUCA;MERCADERES;19450;ALTA;26/07/2026
2;ANDINA;CUNDINAMARCA;GIRARDOT;25307;ALTA;26/07/2026
3;ANDINA;CUNDINAMARCA;NARIÑO;25483;ALTA;26/07/2026
4;ANDINA;CUNDINAMARCA;NILO;25488;ALTA;26/07/2026
5;ANDINA;CUNDINAMARCA;RICAURTE;25612;ALTA;26/07/2026
6;ANDINA;HUILA;AIPE;41016;ALTA;26/07/2026
7;ANDINA;HUILA;NEIVA;41001;ALTA;26/07/2026
8;ANDINA;HUILA;PALERMO;41524;ALTA;26/07/2026
9;ANDINA;HUILA;SANTA MARÍA;41676;ALTA;26/07/2026
10;ANDINA;HUILA;VILLAVIEJA;41872;ALTA;26/07/2026
11;CARIBE;LA GUAJIRA;ALBANIA;44035;ALTA;26/07/2026
12;CARIBE;LA GUAJIRA;MAICAO;44430;ALTA;26/07/2026
13;CARIBE;LA GUAJIRA;MANAURE;44560;ALTA;26/07/2026
14;CARIBE;LA GUAJIRA;URIBIA;44847;ALTA;26/07/2026
15;PACÍFICO;NARIÑO;TAMINANGO;52786;ALTA;26/07/2026
16;ANDINA;TOLIMA;ALPUJARRA;73024;ALTA;26/07/2026
17;ANDINA;TOLIMA;ATACO;73067;ALTA;26/07/2026
18;ANDINA;TOLIMA;CARMEN DE APICALÁ;73148;ALTA;26/07/2026
19;ANDINA;TOLIMA;COELLO;73200;ALTA;26/07/2026
20;ANDINA;TOLIMA;COYAIMA;73217;ALTA;26/07/2026
21;ANDINA;TOLIMA;DOLORES;73236;ALTA;26/07/2026
22;ANDINA;TOLIMA;ESPINAL;73268;ALTA;26/07/2026
23;ANDINA;TOLIMA;FLANDES;73275;ALTA;26/07/2026
24;ANDINA;TOLIMA;GUAMO;73319;ALTA;26/07/2026
25;ANDINA;TOLIMA;IBAGUÉ;73001;ALTA;26/07/2026
26;ANDINA;TOLIMA;MELGAR;73449;ALTA;26/07/2026
27;ANDINA;TOLIMA;NATAGAIMA;73483;ALTA;26/07/2026
