COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,30.7,11774585
91405,Amazonas,La Chorrera,30.7,14165931
91407,Amazonas,La Pedrera,30.9,15175784
91430,Amazonas,La Victoria,30.5,1598379
91001,Amazonas,Leticia,31.2,6727268
91460,Amazonas,Miriti-Parana,30.7,18820064
91530,Amazonas,Puerto Alegria,30.2,9291534
91536,Amazonas,Puerto Arica,30.8,15153174
91540,Amazonas,Puerto Narino,31.1,1587068
91669,Amazonas,Santander,30.4,16457477
91798,Amazonas,Tarapaca,31.2,10077628
05002,Antioquia,Abejorral,33.2,569818
05004,Antioquia,Abriaqui,23.9,333936
05021,Antioquia,Alejandria,26.7,145063
05030,Antioquia,Amaga,32.2,94539
05031,Antioquia,Amalfi,33.7,1362016
05034,Antioquia,Andes,28.4,451890
05036,Antioquia,Angelopolis,30.6,92005
05038,Antioquia,Angostura,27.5,381134
05040,Antioquia,Anori,34.4,1593171
05044,Antioquia,Anza,33.6,287675
05045,Antioquia,Apartado,32.2,603077
05051,Antioquia,Arboletes,34.2,851162
05055,Antioquia,Argelia,33.1,275658
05059,Antioquia,Armenia,33.5,124098
05079,Antioquia,Barbosa,27.8,231400
05088,Antioquia,Bello,26.8,166318
05086,Antioquia,Belmira,20.4,333209
05091,Antioquia,Betania,28.7,202703
05093,Antioquia,Betulia,33.2,294857
05107,Antioquia,Briceno,31.8,423900
05113,Antioquia,Buritica,31.8,399678
05125,Antioquia,Caicedo,29.7,225000
05129,Antioquia,Caldas,27.5,149249
05134,Antioquia,Campamento,31.5,261516
05142,Antioquia,Caracoli,33.2,295686
05145,Antioquia,Caramanta,32.2,103393
05147,Antioquia,Carepa,32.5,436264
05148,Antioquia,Carmen De Viboral,28.6,476206
05150,Antioquia,Carolina,28.0,168392
05154,Antioquia,Caucasia,35.2,1612931
05138,Antioquia,Canasgordas,27.1,410500
05172,Antioquia,Chigorodo,32.5,812701
05190,Antioquia,Cisneros,28.5,52830
05101,Antioquia,Ciudad Bolivar,31.9,296221
05197,Antioquia,Cocorna,31.1,271796
05206,Antioquia,Concepcion,24.8,227278
05209,Antioquia,Concordia,33.7,278528
05212,Antioquia,Copacabana,26.4,76412
05120,Antioquia,Caceres,33.9,2113418
05234,Antioquia,Dabeiba,31.3,2201979
05237,Antioquia,Donmatias,28.1,228757
05240,Antioquia,Ebejico,33.5,267317
05250,Antioquia,El Bagre,35.4,1760318
05607,Antioquia,El Retiro,24.9,272023
05264,Antioquia,Entrerrios,20.4,240971
05266,Antioquia,Envigado,26.0,89961
05282,Antioquia,Fredonia,33.2,289963
05284,Antioquia,Frontino,32.5,1556209
05306,Antioquia,Giraldo,29.5,105158
05308,Antioquia,Girardota,26.6,93182
05313,Antioquia,Granada,29.2,213883
05315,Antioquia,Guadalupe,30.9,133112
05318,Antioquia,Guarne,21.7,171165
05321,Antioquia,Guatape,23.1,93722
05310,Antioquia,Gomez Plata,30.7,373943
05347,Antioquia,Heliconia,31.9,129116
05353,Antioquia,Hispania,31.2,60851
05360,Antioquia,Itagui,26.2,21942
05361,Antioquia,Ituango,31.8,3200283
05364,Antioquia,Jardin,24.8,225853
05368,Antioquia,Jerico,33.1,230278
05376,Antioquia,La Ceja,27.4,149154
05380,Antioquia,La Estrella,26.2,41419
05390,Antioquia,La Pintada,33.1,61022
05400,Antioquia,La Union,22.0,188508
05411,Antioquia,Liborina,32.2,243496
05425,Antioquia,Maceo,32.0,435772
05440,Antioquia,Marinilla,21.9,129182
05001,Antioquia,Medellin,29.3,419962
05467,Antioquia,Montebello,30.1,85420
05475,Antioquia,Murindo,34.2,1423307
05480,Antioquia,Mutata,32.5,1209994
05483,Antioquia,Narino,30.7,355855
05495,Antioquia,Nechi,34.8,1058350
05490,Antioquia,Necocli,34.5,1413373
05501,Antioquia,Olaya,32.9,97860
05543,Antioquia,Peque,30.7,488675
05541,Antioquia,Penol,22.6,133072
05576,Antioquia,Pueblorrico,33.0,84712
05579,Antioquia,Puerto Berrio,33.5,1373268
05585,Antioquia,Puerto Nare,34.3,752766
05591,Antioquia,Puerto Triunfo,34.4,416003
05604,Antioquia,Remedios,32.8,2225054
05615,Antioquia,Rionegro,21.8,220278
05628,Antioquia,Sabanalarga,31.0,299127
05631,Antioquia,Sabaneta,26.3,17685
05642,Antioquia,Salgar,33.2,323789
05647,Antioquia,San Andres de Cuerquia,29.5,232856
05649,Antioquia,San Carlos,32.8,807373
05652,Antioquia,San Francisco,32.5,400557
05656,Antioquia,San Jeronimo,32.3,181379
05658,Antioquia,San Jose De La Montana,20.2,141913
05659,Antioquia,San Juan De Uraba,32.0,283742
05660,Antioquia,San Luis,32.7,478477
05664,Antioquia,San Pedro De Los Milagros,20.7,248643
05665,Antioquia,San Pedro De Uraba,33.5,680012
05667,Antioquia,San Rafael,30.3,409416
05670,Antioquia,San Roque,30.4,478016
05674,Antioquia,San Vicente,22.9,259228
05679,Antioquia,Santa Barbara,33.2,220405
05042,Antioquia,Santa Fe De Antioquia,33.7,591089
05686,Antioquia,Santa Rosa De Osos,28.1,973298
05690,Antioquia,Santo Domingo,28.5,299206
05697,Antioquia,Santuario,23.2,93832
05736,Antioquia,Segovia,33.8,1269072
05756,Antioquia,Sonson,34.3,1513077
05761,Antioquia,Sopetran,33.6,246389
05790,Antioquia,Taraza,33.3,1295523
05792,Antioquia,Tarso,33.3,135324
05809,Antioquia,Titiribi,33.8,157727
05819,Antioquia,Toledo,31.6,151358
05837,Antioquia,Turbo,33.6,3280628
05789,Antioquia,Tamesis,33.1,283262
05842,Antioquia,Uramita,28.8,299198
05847,Antioquia,Urrao,32.9,2880450
05854,Antioquia,Valdivia,32.9,639646
05856,Antioquia,Valparaiso,32.7,141722
05858,Antioquia,Vegachi,31.0,609013
05861,Antioquia,Venecia,33.5,156919
05873,Antioquia,Vigia Del Fuerte,34.1,1866734
05885,Antioquia,Yali,31.1,496447
05887,Antioquia,Yarumal,31.4,802404
05890,Antioquia,Yolombo,32.6,1139895
05893,Antioquia,Yondo,33.6,2135142
05895,Antioquia,Zaragoza,35.4,1316724
81001,Arauca,Arauca,31.0,6480390
81065,Arauca,Arauquita,31.1,3398314
81220,Arauca,Cravo Norte,31.3,5830110
81300,Arauca,Fortul,30.0,1302674
81591,Arauca,Puerto Rondon,31.3,2560110
81736,Arauca,Saravena,30.5,1040968
81794,Arauca,Tame,31.3,6088514
08078,Atlantico,Baranoa,34.6,138078
08001,Atlantico,Barranquilla,32.1,165737
08137,Atlantico,Campo De La Cruz,36.9,113666
08141,Atlantico,Candelaria,36.5,154373
08296,Atlantico,Galapa,32.9,111089
08372,Atlantico,Juan De Acosta,34.7,191150
08421,Atlantico,Luruaco,35.7,255101
08433,Atlantico,Malambo,33.6,111834
08436,Atlantico,Manati,36.4,243551
08520,Atlantico,Palmar De Varela,35.2,104963
08549,Atlantico,Piojo,38.1,287737
08558,Atlantico,Polonuevo,34.7,84030
08560,Atlantico,Ponedera,36.2,235059
08573,Atlantico,Puerto Colombia,31.7,80058
08606,Atlantico,Repelon,35.7,407612
08634,Atlantico,Sabanagrande,34.2,49057
08638,Atlantico,Sabanalarga,35.5,450221
08675,Atlantico,Santa Lucia,36.8,65156
08685,Atlantico,Santo Tomas,34.9,74048
08758,Atlantico,Soledad,32.9,67368
08770,Atlantico,Suan,37.0,48341
08832,Atlantico,Tubara,33.5,203989
08849,Atlantico,Usiacuri,34.9,115345
13006,Bolivar,Achi,35.0,1076327
13030,Bolivar,Altos Del Rosario,35.5,343678
13042,Bolivar,Arenal,34.7,522075
13052,Bolivar,Arjona,36.2,666987
13062,Bolivar,Arroyohondo,36.9,186053
13074,Bolivar,Barranco De Loba,35.5,487437
13140,Bolivar,Calamar,37.2,290411
13160,Bolivar,Cantagallo,33.9,992881
13001,Bolivar,Cartagena De Indias,36.5,641599
13188,Bolivar,Cicuco,34.9,149678
13222,Bolivar,Clemencia,35.5,97062
13212,Bolivar,Cordoba,37.1,677130
13244,Bolivar,El Carmen De Bolivar,36.5,1073061
13248,Bolivar,El Guamo,37.5,435079
13268,Bolivar,El Penon,35.6,361034
13300,Bolivar,Hatillo De Loba,35.0,219910
13430,Bolivar,Magangue,36.2,1280772
13433,Bolivar,Mahates,36.4,490963
13440,Bolivar,Margarita,35.2,331744
13442,Bolivar,Maria La Baja,36.0,636887
13468,Bolivar,Mompos,34.9,738623
13458,Bolivar,Montecristo,34.3,2363379
13473,Bolivar,Morales,35.2,1522699
13490,Bolivar,Norosi,34.4,470792
13549,Bolivar,Pinillos,35.4,877847
13580,Bolivar,Regidor,35.7,207578
13600,Bolivar,Rioviejo,35.1,955818
13620,Bolivar,San Cristobal,36.2,48057
13647,Bolivar,San Estanislao,35.7,240440
13650,Bolivar,San Fernando,34.9,360236
13654,Bolivar,San Jacinto,36.8,502471
13655,Bolivar,San Jacinto Del Cauca,34.3,643931
13657,Bolivar,San Juan Nepomuceno,37.3,716411
13667,Bolivar,San Martin De Loba,34.9,509391
13670,Bolivar,San Pablo,34.5,2279235
13673,Bolivar,Santa Catalina,35.9,195742
13683,Bolivar,Santa Rosa,34.8,175803
13688,Bolivar,Santa Rosa Del Sur,33.0,2689542
13744,Bolivar,Simiti,34.9,1529192
13760,Bolivar,Soplaviento,35.7,105206
13780,Bolivar,Talaigua Nuevo,36.0,282518
13810,Bolivar,Tiquisio,35.3,862474
13836,Bolivar,Turbaco,36.8,230243
13838,Bolivar,Turbana,36.4,216239
13873,Bolivar,Villanueva,35.5,155836
13894,Bolivar,Zambrano,37.3,351120
15022,Boyaca,Almeida,22.5,64742
15047,Boyaca,Aquitania,23.1,1058211
15051,Boyaca,Arcabuco,22.8,154978
15087,Boyaca,Belen,19.4,183366
15090,Boyaca,Berbeo,23.7,65145
