COD_MUN,DEPARTAMENTO,MUNICIPIO,TMAX_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91001,Amazonas,Leticia,33.7,6727268
05001,Antioquia,Medellin,27.0,419962
81001,Arauca,Arauca,32.7,6480390
08001,Atlantico,Barranquilla,32.0,165737
13001,Bolivar,Cartagena De Indias,32.2,641599
15001,Boyaca,Tunja,16.0,134508
17001,Caldas,Manizales,28.4,494940
18001,Caqueta,Florencia,31.2,2849167
85001,Casanare,Yopal,32.8,2785982
19001,Cauca,Popayan,25.8,536566
20001,Cesar,Valledupar,37.4,4760939
27001,Choco,Quibdo,31.3,3935568
11001,Cundinamarca,"Bogota, D.C.",29.3,1817617
23001,Cordoba,Monteria,32.5,3544548
94001,Guainia,Inirida,33.3,17706318
95001,Guaviare,San Jose Del Guaviare,32.2,18731168
41001,Huila,Neiva,35.1,1421612
44001,La Guajira,Riohacha,36.1,3518455
47001,Magdalena,Santa Marta,32.0,2672070
50001,Meta,Villavicencio,31.9,1441792
52001,Narino,Pasto,25.7,1226326
54001,Norte de Santander,Cucuta,37.8,1277938
86001,Putumayo,Mocoa,30.7,1456603
63001,Quindio,Armenia,27.2,136089
66001,Risaralda,Pereira,29.2,682233
88001,San Andres y Providencia,San Andres,33.0,30340
68001,Santander,Bucaramanga,28.8,172989
70001,Sucre,Sincelejo,30.8,317037
73001,Tolima,Ibague,36.2,1544466
76001,Valle del Cauca,Cali,28.6,630689
97001,Vaupes,Mitu,32.2,18064548
99001,Vichada,Puerto Carreno,34.3,13250752
