COD_MUN,DEPARTAMENTO,MUNICIPIO,TMIN_TOP3_PROMEDIO_C,N_PIXELES_DOWNSCALING
91263,Amazonas,El Encanto,19.8,11774585
91405,Amazonas,La Chorrera,20.4,14165931
91407,Amazonas,La Pedrera,20.0,15175784
91430,Amazonas,La Victoria,20.7,1598379
91001,Amazonas,Leticia,20.4,6727268
91460,Amazonas,Miriti-Parana,19.8,18820064
91530,Amazonas,Puerto Alegria,19.7,9291534
91536,Amazonas,Puerto Arica,20.4,15153174
91540,Amazonas,Puerto Narino,20.1,1587068
91669,Amazonas,Santander,19.7,16457477
91798,Amazonas,Tarapaca,20.2,10077628
05002,Antioquia,Abejorral,8.5,569818
05004,Antioquia,Abriaqui,5.7,333936
05021,Antioquia,Alejandria,12.2,145063
05030,Antioquia,Amaga,10.9,94539
05031,Antioquia,Amalfi,12.0,1362016
05034,Antioquia,Andes,5.9,451890
05036,Antioquia,Angelopolis,8.1,92005
05038,Antioquia,Angostura,8.4,381134
05040,Antioquia,Anori,11.9,1593171
05044,Antioquia,Anza,8.9,287675
05045,Antioquia,Apartado,18.5,603077
05051,Antioquia,Arboletes,21.6,851162
05055,Antioquia,Argelia,6.5,275658
05059,Antioquia,Armenia,12.2,124098
05079,Antioquia,Barbosa,9.2,231400
05088,Antioquia,Bello,7.6,166318
05086,Antioquia,Belmira,6.9,333209
05091,Antioquia,Betania,4.7,202703
05093,Antioquia,Betulia,7.2,294857
05107,Antioquia,Briceno,8.7,423900
05113,Antioquia,Buritica,9.2,399678
05125,Antioquia,Caicedo,4.8,225000
05129,Antioquia,Caldas,6.5,149249
05134,Antioquia,Campamento,9.5,261516
05142,Antioquia,Caracoli,17.8,295686
05145,Antioquia,Caramanta,8.8,103393
05147,Antioquia,Carepa,17.2,436264
05148,Antioquia,Carmen De Viboral,7.3,476206
05150,Antioquia,Carolina,9.7,168392
05154,Antioquia,Caucasia,21.9,1612931
05138,Antioquia,Canasgordas,6.8,410500
05172,Antioquia,Chigorodo,16.1,812701
05190,Antioquia,Cisneros,13.2,52830
05101,Antioquia,Ciudad Bolivar,6.2,296221
05197,Antioquia,Cocorna,9.8,271796
05206,Antioquia,Concepcion,9.3,227278
05209,Antioquia,Concordia,10.6,278528
05212,Antioquia,Copacabana,9.0,76412
05120,Antioquia,Caceres,18.2,2113418
05234,Antioquia,Dabeiba,5.6,2201979
05237,Antioquia,Donmatias,8.8,228757
05240,Antioquia,Ebejico,9.5,267317
05250,Antioquia,El Bagre,18.8,1760318
05607,Antioquia,El Retiro,6.5,272023
05264,Antioquia,Entrerrios,7.4,240971
05266,Antioquia,Envigado,7.0,89961
05282,Antioquia,Fredonia,9.6,289963
05284,Antioquia,Frontino,5.3,1556209
05306,Antioquia,Giraldo,7.4,105158
05308,Antioquia,Girardota,9.4,93182
05313,Antioquia,Granada,9.3,213883
05315,Antioquia,Guadalupe,12.0,133112
05318,Antioquia,Guarne,8.8,171165
05321,Antioquia,Guatape,11.0,93722
05310,Antioquia,Gomez Plata,11.6,373943
05347,Antioquia,Heliconia,9.2,129116
05353,Antioquia,Hispania,13.8,60851
05360,Antioquia,Itagui,11.8,21942
05361,Antioquia,Ituango,6.4,3200283
05364,Antioquia,Jardin,8.0,225853
05368,Antioquia,Jerico,10.3,230278
05376,Antioquia,La Ceja,7.9,149154
05380,Antioquia,La Estrella,8.2,41419
05390,Antioquia,La Pintada,16.1,61022
05400,Antioquia,La Union,7.4,188508
05411,Antioquia,Liborina,7.2,243496
05425,Antioquia,Maceo,16.8,435772
05440,Antioquia,Marinilla,9.5,129182
05001,Antioquia,Medellin,7.7,419962
05467,Antioquia,Montebello,10.4,85420
05475,Antioquia,Murindo,16.7,1423307
05480,Antioquia,Mutata,9.2,1209994
05483,Antioquia,Narino,5.6,355855
05495,Antioquia,Nechi,20.4,1058350
05490,Antioquia,Necocli,20.7,1413373
05501,Antioquia,Olaya,7.4,97860
05543,Antioquia,Peque,5.5,488675
05541,Antioquia,Penol,9.3,133072
05576,Antioquia,Pueblorrico,11.4,84712
05579,Antioquia,Puerto Berrio,18.0,1373268
05585,Antioquia,Puerto Nare,18.5,752766
05591,Antioquia,Puerto Triunfo,20.5,416003
05604,Antioquia,Remedios,17.1,2225054
05615,Antioquia,Rionegro,8.2,220278
05628,Antioquia,Sabanalarga,7.4,299127
05631,Antioquia,Sabaneta,9.3,17685
05642,Antioquia,Salgar,5.4,323789
05647,Antioquia,San Andres de Cuerquia,7.6,232856
05649,Antioquia,San Carlos,10.3,807373
05652,Antioquia,San Francisco,12.3,400557
05656,Antioquia,San Jeronimo,7.6,181379
05658,Antioquia,San Jose De La Montana,6.7,141913
05659,Antioquia,San Juan De Uraba,22.1,283742
05660,Antioquia,San Luis,13.3,478477
05664,Antioquia,San Pedro De Los Milagros,8.6,248643
05665,Antioquia,San Pedro De Uraba,21.4,680012
05667,Antioquia,San Rafael,10.4,409416
05670,Antioquia,San Roque,13.0,478016
05674,Antioquia,San Vicente,9.2,259228
05679,Antioquia,Santa Barbara,8.8,220405
05042,Antioquia,Santa Fe De Antioquia,6.3,591089
05686,Antioquia,Santa Rosa De Osos,7.7,973298
05690,Antioquia,Santo Domingo,10.9,299206
05697,Antioquia,Santuario,9.0,93832
05736,Antioquia,Segovia,15.9,1269072
05756,Antioquia,Sonson,5.6,1513077
05761,Antioquia,Sopetran,8.4,246389
05790,Antioquia,Taraza,13.1,1295523
05792,Antioquia,Tarso,6.3,135324
05809,Antioquia,Titiribi,11.6,157727
05819,Antioquia,Toledo,10.4,151358
05837,Antioquia,Turbo,19.4,3280628
05789,Antioquia,Tamesis,8.2,283262
05842,Antioquia,Uramita,8.6,299198
05847,Antioquia,Urrao,3.7,2880450
05854,Antioquia,Valdivia,11.1,639646
05856,Antioquia,Valparaiso,10.8,141722
05858,Antioquia,Vegachi,15.4,609013
05861,Antioquia,Venecia,10.3,156919
05873,Antioquia,Vigia Del Fuerte,15.9,1866734
05885,Antioquia,Yali,14.5,496447
05887,Antioquia,Yarumal,7.8,802404
05890,Antioquia,Yolombo,12.6,1139895
05893,Antioquia,Yondo,19.2,2135142
05895,Antioquia,Zaragoza,20.6,1316724
81001,Arauca,Arauca,18.9,6480390
81065,Arauca,Arauquita,18.8,3398314
81220,Arauca,Cravo Norte,18.9,5830110
81300,Arauca,Fortul,-0.6,1302674
81591,Arauca,Puerto Rondon,18.9,2560110
81736,Arauca,Saravena,8.6,1040968
81794,Arauca,Tame,-2.5,6088514
08078,Atlantico,Baranoa,22.0,138078
08001,Atlantico,Barranquilla,23.9,165737
08137,Atlantico,Campo De La Cruz,22.5,113666
08141,Atlantico,Candelaria,22.5,154373
08296,Atlantico,Galapa,22.4,111089
08372,Atlantico,Juan De Acosta,21.9,191150
08421,Atlantico,Luruaco,21.3,255101
08433,Atlantico,Malambo,23.0,111834
08436,Atlantico,Manati,22.4,243551
08520,Atlantico,Palmar De Varela,23.0,104963
08549,Atlantico,Piojo,19.4,287737
08558,Atlantico,Polonuevo,23.0,84030
08560,Atlantico,Ponedera,22.7,235059
08573,Atlantico,Puerto Colombia,24.1,80058
08606,Atlantico,Repelon,21.0,407612
08634,Atlantico,Sabanagrande,23.5,49057
08638,Atlantico,Sabanalarga,22.4,450221
08675,Atlantico,Santa Lucia,22.6,65156
08685,Atlantico,Santo Tomas,23.0,74048
08758,Atlantico,Soledad,23.6,67368
08770,Atlantico,Suan,22.6,48341
08832,Atlantico,Tubara,22.2,203989
08849,Atlantico,Usiacuri,21.8,115345
13006,Bolivar,Achi,19.4,1076327
13030,Bolivar,Altos Del Rosario,21.1,343678
13042,Bolivar,Arenal,14.6,522075
13052,Bolivar,Arjona,22.2,666987
13062,Bolivar,Arroyohondo,22.7,186053
13074,Bolivar,Barranco De Loba,20.5,487437
13140,Bolivar,Calamar,22.6,290411
13160,Bolivar,Cantagallo,17.4,992881
13001,Bolivar,Cartagena De Indias,22.0,641599
13188,Bolivar,Cicuco,22.5,149678
13222,Bolivar,Clemencia,21.7,97062
13212,Bolivar,Cordoba,22.5,677130
13244,Bolivar,El Carmen De Bolivar,21.2,1073061
13248,Bolivar,El Guamo,22.7,435079
13268,Bolivar,El Penon,22.1,361034
13300,Bolivar,Hatillo De Loba,21.8,219910
13430,Bolivar,Magangue,22.5,1280772
13433,Bolivar,Mahates,22.6,490963
13440,Bolivar,Margarita,22.1,331744
13442,Bolivar,Maria La Baja,22.6,636887
13468,Bolivar,Mompos,22.1,738623
13458,Bolivar,Montecristo,12.6,2363379
13473,Bolivar,Morales,12.5,1522699
13490,Bolivar,Norosi,19.0,470792
13549,Bolivar,Pinillos,22.3,877847
13580,Bolivar,Regidor,22.3,207578
13600,Bolivar,Rioviejo,16.9,955818
13620,Bolivar,San Cristobal,22.9,48057
13647,Bolivar,San Estanislao,22.0,240440
13650,Bolivar,San Fernando,22.1,360236
13654,Bolivar,San Jacinto,22.1,502471
13655,Bolivar,San Jacinto Del Cauca,21.0,643931
13657,Bolivar,San Juan Nepomuceno,23.0,716411
13667,Bolivar,San Martin De Loba,20.3,509391
13670,Bolivar,San Pablo,15.0,2279235
13673,Bolivar,Santa Catalina,21.4,195742
13683,Bolivar,Santa Rosa,22.7,175803
13688,Bolivar,Santa Rosa Del Sur,13.5,2689542
13744,Bolivar,Simiti,17.1,1529192
13760,Bolivar,Soplaviento,23.1,105206
13780,Bolivar,Talaigua Nuevo,22.2,282518
13810,Bolivar,Tiquisio,18.8,862474
13836,Bolivar,Turbaco,21.9,230243
13838,Bolivar,Turbana,22.3,216239
13873,Bolivar,Villanueva,21.6,155836
13894,Bolivar,Zambrano,22.5,351120
15022,Boyaca,Almeida,6.0,64742
15047,Boyaca,Aquitania,0.8,1058211
15051,Boyaca,Arcabuco,1.5,154978
15087,Boyaca,Belen,-0.1,183366
15090,Boyaca,Berbeo,3.7,65145
15092,Boyaca,Beteitiva,3.0,114526
15097,Boyaca,Boavita,5.4,163388
15104,Boyaca,Boyaca,6.6,53946
15106,Boyaca,Briceno,6.3,72614
15109,Boyaca,Buenavista,6.7,123767
15114,Boyaca,Busbanza,5.6,28487
15131,Boyaca,Caldas,7.1,88750
15135,Boyaca,Campohermoso,8.2,335327
15162,Boyaca,Cerinza,0.8,71470
15172,Boyaca,Chinavita,3.0,153141
15176,Boyaca,Chiquinquira,4.9,185435
15180,Boyaca,Chiscas,-1.0,741218
15183,Boyaca,Chita,0.6,761279
